millis,lat,lon,sat,alt,data,hora,altp,p,ax,ay,az,gx,gy,gz,pqd
17829,-22.590945,-42.764546,11,12.00,2025/6/2,13:30:22,-0.11,1026.58,2.11,9.32,0.77,-0.04,-0.02,0.02,0
18064,-22.590945,-42.764545,11,12.10,2025/6/2,13:30:23,-0.05,1026.58,2.13,9.25,0.81,-0.03,-0.02,0.02,0
18310,-22.590945,-42.764545,11,12.10,2025/6/2,13:30:23,-0.20,1026.60,2.12,9.31,0.79,-0.02,-0.02,0.03,0
18550,-22.590945,-42.764545,11,12.10,2025/6/2,13:30:23,-0.21,1026.60,2.22,9.30,0.72,-0.01,-0.01,0.05,0
18787,-22.590945,-42.764545,11,12.10,2025/6/2,13:30:23,-0.16,1026.59,2.21,9.27,0.83,-0.02,-0.01,0.04,0
19026,-22.590945,-42.764545,11,12.10,2025/6/2,13:30:24,-0.07,1026.58,2.25,9.32,0.80,-0.01,-0.02,0.03,0
19376,-22.590945,-42.764545,11,12.10,2025/6/2,13:30:24,-0.11,1026.58,2.22,9.24,0.73,-0.02,-0.01,0.03,0
19615,-22.590945,-42.764545,11,12.10,2025/6/2,13:30:24,0.04,1026.57,2.27,9.28,0.70,-0.02,-0.01,0.03,0
19846,-22.590945,-42.764545,11,12.10,2025/6/2,13:30:24,-0.04,1026.58,2.31,9.24,0.86,-0.02,-0.03,0.03,0
20081,-22.590945,-42.764545,11,12.10,2025/6/2,13:30:25,-0.02,1026.57,2.27,9.28,0.80,-0.03,-0.02,0.02,0
20316,-22.590945,-42.764545,11,12.10,2025/6/2,13:30:25,0.02,1026.57,2.35,9.31,0.65,-0.02,-0.02,0.03,0
20548,-22.590945,-42.764545,11,12.10,2025/6/2,13:30:25,0.25,1026.54,2.30,9.31,0.75,-0.02,-0.01,0.03,0
20778,-22.590945,-42.764545,11,12.10,2025/6/2,13:30:25,0.17,1026.55,2.25,9.20,0.73,-0.02,-0.02,0.03,0
21009,-22.590944,-42.764545,11,12.20,2025/6/2,13:30:26,0.07,1026.56,2.28,9.21,0.77,-0.01,-0.03,0.02,0
21252,-22.590944,-42.764545,11,12.20,2025/6/2,13:30:26,0.02,1026.57,2.28,9.23,0.70,-0.01,-0.03,0.03,0
21492,-22.590944,-42.764545,11,12.20,2025/6/2,13:30:26,-0.13,1026.59,2.34,9.39,0.83,-0.01,0.03,0.06,0
21734,-22.590944,-42.764545,11,12.20,2025/6/2,13:30:26,-0.12,1026.59,2.42,9.30,0.47,0.04,0.15,0.06,0
21974,-22.590945,-42.764545,11,12.20,2025/6/2,13:30:27,-0.18,1026.59,2.66,9.21,0.19,0.02,0.12,0.08,0
22219,-22.590945,-42.764545,11,12.20,2025/6/2,13:30:27,0.14,1026.55,2.30,9.27,0.23,-0.11,-0.04,-0.03,0
22471,-22.590945,-42.764545,11,12.20,2025/6/2,13:30:27,-0.25,1026.60,2.12,9.02,0.29,-0.04,0.04,-0.13,0
22719,-22.590945,-42.764545,11,12.20,2025/6/2,13:30:27,-0.16,1026.59,2.14,9.38,0.69,-0.01,-0.22,-0.03,0
22966,-22.590945,-42.764544,11,12.20,2025/6/2,13:30:28,-0.01,1026.57,1.79,9.41,0.20,-0.17,-0.06,-0.18,0
23319,-22.590945,-42.764544,11,12.20,2025/6/2,13:30:28,-0.33,1026.61,1.23,11.01,-1.89,0.33,-0.53,0.19,0
23561,-22.590945,-42.764544,11,12.20,2025/6/2,13:30:28,-0.26,1026.60,0.35,10.59,-0.15,-0.02,-0.41,-0.21,0
23810,-22.590945,-42.764544,11,12.20,2025/6/2,13:30:28,-0.03,1026.57,0.68,9.96,1.71,-0.15,-0.65,0.53,0
24049,-22.590944,-42.764549,11,12.40,2025/6/2,13:30:29,0.34,1026.53,1.55,9.64,-0.72,-0.42,-0.31,-0.09,0
24303,-22.590944,-42.764549,11,12.40,2025/6/2,13:30:29,0.41,1026.52,0.60,7.36,1.10,-0.25,0.07,-0.38,0
24547,-22.590944,-42.764549,11,12.40,2025/6/2,13:30:29,0.73,1026.48,-0.26,7.16,2.03,0.08,-0.40,-0.17,0
24798,-22.590944,-42.764549,11,12.40,2025/6/2,13:30:29,0.74,1026.49,0.47,10.35,0.95,0.38,-0.65,0.33,0
25041,-22.590943,-42.764550,11,12.50,2025/6/2,13:30:30,0.65,1026.49,0.05,9.34,-0.39,-0.10,0.01,-0.09,0
25294,-22.590943,-42.764550,11,12.50,2025/6/2,13:30:30,0.87,1026.47,-0.11,9.92,-1.05,0.02,0.21,0.02,0
25538,-22.590943,-42.764550,11,12.50,2025/6/2,13:30:30,0.73,1026.48,0.02,9.51,-1.18,-0.03,0.41,0.11,0
25783,-22.590943,-42.764550,11,12.50,2025/6/2,13:30:30,0.48,1026.51,0.29,9.37,-1.20,-0.14,0.38,-0.24,0
26038,-22.590943,-42.764548,11,12.40,2025/6/2,13:30:31,0.65,1026.52,0.23,9.78,-1.08,0.20,0.19,0.14,0
26290,-22.590943,-42.764548,11,12.40,2025/6/2,13:30:31,0.65,1026.49,-0.20,9.64,-1.08,-0.20,-0.08,0.04,0
26545,-22.590943,-42.764548,11,12.40,2025/6/2,13:30:31,0.77,1026.48,-0.11,9.75,-1.38,-0.02,-0.08,-0.06,0
26838,-22.590943,-42.764548,11,12.40,2025/6/2,13:30:31,0.70,1026.49,-0.23,9.49,-1.23,0.11,-0.03,0.08,0
27076,-22.590942,-42.764548,12,12.30,2025/6/2,13:30:32,0.77,1026.48,-0.31,9.38,-1.28,0.00,0.06,-0.07,0
27418,-22.590942,-42.764548,12,12.30,2025/6/2,13:30:32,0.75,1026.48,-0.97,9.45,-1.12,0.05,-0.23,0.06,0
27648,-22.590942,-42.764548,12,12.30,2025/6/2,13:30:32,0.66,1026.49,-0.76,9.33,-1.41,0.08,-0.01,0.09,0
27878,-22.590941,-42.764547,12,12.30,2025/6/2,13:30:33,0.87,1026.47,-0.26,9.12,-1.70,-0.06,-0.01,0.14,0
28118,-22.590941,-42.764547,12,12.10,2025/6/2,13:30:33,0.87,1026.47,-0.33,9.70,-1.73,-0.10,-0.09,0.14,0
28352,-22.590941,-42.764547,12,12.10,2025/6/2,13:30:33,0.77,1026.48,0.36,9.44,-1.62,0.10,-0.27,0.16,0
28580,-22.590941,-42.764547,12,12.10,2025/6/2,13:30:33,0.57,1026.50,0.39,9.75,-1.66,-0.05,-0.11,0.10,0
28814,-22.590941,-42.764547,12,12.10,2025/6/2,13:30:33,0.76,1026.48,0.40,9.60,-1.91,-0.01,-0.12,-0.03,0
29047,-22.590940,-42.764547,12,12.20,2025/6/2,13:30:34,0.82,1026.48,0.30,9.58,-1.81,-0.12,-0.10,0.03,0
29285,-22.590940,-42.764547,12,12.20,2025/6/2,13:30:34,1.07,1026.44,0.36,9.25,-1.83,-0.03,0.04,-0.03,0
29525,-22.590940,-42.764547,12,12.20,2025/6/2,13:30:34,0.98,1026.45,0.46,9.46,-1.57,-0.24,-0.11,0.07,0
29762,-22.590940,-42.764547,12,12.20,2025/6/2,13:30:34,0.79,1026.48,0.34,9.69,-0.89,0.09,0.14,-0.06,0
29994,-22.590940,-42.764547,12,12.00,2025/6/2,13:30:35,0.79,1026.48,0.15,9.32,-1.38,-0.04,0.24,0.16,0
30240,-22.590940,-42.764547,12,12.00,2025/6/2,13:30:35,0.59,1026.50,0.45,9.90,-1.39,-0.06,0.12,-0.10,0
30484,-22.590940,-42.764547,12,12.00,2025/6/2,13:30:35,0.88,1026.46,0.37,9.78,-0.98,-0.10,0.10,0.08,0
30719,-22.590940,-42.764547,12,12.00,2025/6/2,13:30:35,0.66,1026.49,1.09,9.87,-0.36,-0.12,0.22,0.47,0
30958,-22.590940,-42.764547,12,12.00,2025/6/2,13:30:36,0.55,1026.50,1.75,9.45,-0.09,-0.96,0.25,0.60,0
31296,-22.590940,-42.764547,11,12.00,2025/6/2,13:30:36,0.66,1026.49,2.34,9.28,1.97,0.34,0.56,0.12,0
31536,-22.590940,-42.764547,11,12.00,2025/6/2,13:30:36,0.40,1026.52,2.41,9.65,1.64,0.01,0.07,-0.16,0
31769,-22.590940,-42.764547,11,12.00,2025/6/2,13:30:36,0.55,1026.50,1.95,9.01,1.47,0.10,-0.21,-0.11,0
32005,-22.590940,-42.764546,12,11.80,2025/6/2,13:30:37,0.52,1026.51,1.86,9.37,0.79,0.29,-0.16,-0.07,0
32246,-22.590940,-42.764546,12,11.80,2025/6/2,13:30:37,0.61,1026.50,2.22,9.51,0.50,0.06,-0.22,0.19,0
32487,-22.590940,-42.764546,12,11.80,2025/6/2,13:30:37,0.69,1026.49,2.00,9.63,0.51,-0.12,0.18,-0.27,0
32732,-22.590940,-42.764546,12,11.80,2025/6/2,13:30:37,0.62,1026.50,1.33,9.72,0.29,0.22,0.21,0.08,0
32974,-22.590941,-42.764544,12,11.70,2025/6/2,13:30:38,0.54,1026.51,1.78,9.32,-0.26,-0.15,0.01,-0.15,0
33223,-22.590941,-42.764544,12,11.70,2025/6/2,13:30:38,0.47,1026.52,1.27,9.42,-0.20,0.18,-0.01,-0.00,0
33475,-22.590941,-42.764544,12,11.70,2025/6/2,13:30:38,0.48,1026.51,1.03,9.54,-0.40,-0.04,-0.09,-0.02,0
33723,-22.590941,-42.764544,12,11.70,2025/6/2,13:30:38,0.31,1026.53,1.13,9.64,-0.41,-0.01,-0.06,0.04,0
33968,-22.590940,-42.764544,12,11.60,2025/6/2,13:30:39,0.42,1026.52,1.02,9.65,-0.34,-0.15,-0.01,-0.02,0
34218,-22.590940,-42.764544,12,11.60,2025/6/2,13:30:39,0.54,1026.51,1.22,9.43,-0.22,0.04,0.05,0.12,0
34471,-22.590940,-42.764544,12,11.60,2025/6/2,13:30:39,0.48,1026.51,1.22,9.56,-0.32,-0.20,-0.09,-0.03,0
34729,-22.590940,-42.764544,12,11.60,2025/6/2,13:30:39,0.80,1026.47,0.88,9.53,0.20,-0.01,-0.14,0.12,0
34976,-22.590940,-42.764544,12,11.50,2025/6/2,13:30:40,0.68,1026.49,0.93,9.58,0.33,0.05,0.14,0.09,0
35330,-22.590940,-42.764544,12,11.50,2025/6/2,13:30:40,0.37,1026.53,1.36,9.68,0.58,-0.05,0.69,0.08,0
35574,-22.590940,-42.764544,12,11.50,2025/6/2,13:30:40,0.42,1026.52,1.37,9.75,0.52,-0.09,0.41,0.04,0
35814,-22.590940,-42.764544,12,11.50,2025/6/2,13:30:40,0.54,1026.51,1.41,9.33,0.58,0.13,0.32,0.15,0
36053,-22.590941,-42.764543,12,11.50,2025/6/2,13:30:41,0.55,1026.50,1.39,9.64,0.41,-0.04,0.26,0.05,0
36303,-22.590941,-42.764543,12,11.50,2025/6/2,13:30:41,0.21,1026.55,1.31,9.44,0.65,-0.14,0.25,0.20,0
36556,-22.590941,-42.764543,12,11.50,2025/6/2,13:30:41,0.55,1026.51,1.34,9.39,0.72,0.10,0.26,0.17,0
36841,-22.590941,-42.764543,12,11.50,2025/6/2,13:30:41,0.42,1026.52,2.19,9.36,1.07,0.11,0.84,0.58,0
37068,-22.590942,-42.764542,12,11.40,2025/6/2,13:30:42,0.52,1026.51,3.45,7.66,0.30,0.49,1.19,0.17,0
37297,-22.590942,-42.764542,12,11.40,2025/6/2,13:30:42,0.42,1026.52,2.88,8.53,0.05,0.10,1.53,-0.29,0
37527,-22.590942,-42.764542,12,11.40,2025/6/2,13:30:42,0.55,1026.51,1.48,8.29,0.07,0.36,1.59,-0.55,0
37750,-22.590942,-42.764542,12,11.40,2025/6/2,13:30:42,-0.16,1026.59,-0.74,10.83,0.97,-0.09,1.16,-0.27,0
37984,-22.590942,-42.764539,12,11.00,2025/6/2,13:30:43,-0.09,1026.58,0.02,11.27,0.96,-0.96,0.46,0.23,0
38221,-22.590942,-42.764539,12,11.00,2025/6/2,13:30:43,-0.27,1026.60,0.48,11.88,1.53,0.26,-0.45,-0.12,0
38461,-22.590942,-42.764539,12,11.00,2025/6/2,13:30:43,-0.08,1026.58,1.07,9.39,1.85,1.10,-1.10,0.29,0
38702,-22.590942,-42.764539,12,11.00,2025/6/2,13:30:43,0.15,1026.55,0.71,8.00,-0.03,0.09,-1.45,0.59,0
38935,-22.590943,-42.764540,12,11.00,2025/6/2,13:30:44,0.02,1026.57,1.87,8.52,-0.61,-0.50,-1.14,-0.04,0
39279,-22.590943,-42.764540,12,11.40,2025/6/2,13:30:44,0.41,1026.52,0.41,9.47,-1.13,-0.04,-0.41,-0.45,0
39515,-22.590943,-42.764540,12,11.40,2025/6/2,13:30:44,0.45,1026.52,0.34,9.61,-0.21,-0.10,-0.45,0.24,0
39752,-22.590943,-42.764540,12,11.40,2025/6/2,13:30:44,0.42,1026.52,0.18,9.51,-0.22,-0.16,-0.39,0.15,0
