millis,lat,lon,sat,alt,data,hora,altp,p,ax,ay,az,gx,gy,gz
89601,-22.286892,-42.542264,8,883.30,2025/5/15,12:7:37,0.05,927.71,1.10,0.02,9.00,-0.01,-0.01,0.03
89801,-22.286892,-42.542264,8,883.30,2025/5/15,12:7:37,-0.52,927.78,1.08,-0.01,9.07,-0.01,-0.02,0.03
90001,-22.286892,-42.542264,8,883.30,2025/5/15,12:7:37,-0.56,927.78,1.11,0.02,9.01,-0.01,-0.01,0.02
90202,-22.286892,-42.542264,8,883.30,2025/5/15,12:7:37,-0.56,927.78,1.07,-0.03,8.96,-0.01,-0.01,0.02
90402,-22.286890,-42.542261,8,883.10,2025/5/15,12:7:38,-0.45,927.77,1.04,-0.03,9.11,-0.00,-0.02,0.02
90602,-22.286890,-42.542261,8,883.10,2025/5/15,12:7:38,-0.53,927.78,1.13,-0.01,9.02,-0.01,-0.02,0.03
90802,-22.286890,-42.542261,8,883.10,2025/5/15,12:7:38,-0.38,927.76,1.07,-0.02,8.93,-0.01,-0.02,0.03
91002,-22.286890,-42.542261,8,883.10,2025/5/15,12:7:38,-0.34,927.76,1.05,-0.09,9.07,-0.01,-0.02,0.02
91202,-22.286890,-42.542261,8,883.10,2025/5/15,12:7:38,-0.38,927.76,1.08,0.02,8.98,-0.01,-0.01,0.02
91402,-22.286882,-42.542263,8,883.50,2025/5/15,12:7:39,-0.47,927.77,1.05,-0.03,9.03,-0.00,-0.02,0.02
91602,-22.286882,-42.542263,8,883.50,2025/5/15,12:7:39,-0.04,927.72,1.07,-0.09,9.03,-0.00,-0.01,0.02
91802,-22.286882,-42.542263,8,883.50,2025/5/15,12:7:39,-0.37,927.76,1.04,-0.02,9.01,-0.01,-0.01,0.02
92002,-22.286882,-42.542263,8,883.50,2025/5/15,12:7:39,-0.49,927.77,1.07,-0.02,8.94,-0.00,-0.02,0.02
92203,-22.286882,-42.542263,8,883.50,2025/5/15,12:7:39,-0.32,927.76,1.06,-0.02,8.96,-0.01,-0.02,0.02
92403,-22.286875,-42.542264,8,883.30,2025/5/15,12:7:40,-0.56,927.78,0.96,-0.01,9.06,-0.00,-0.02,0.03
92603,-22.286875,-42.542264,8,883.30,2025/5/15,12:7:40,-0.20,927.74,1.04,-0.02,8.95,-0.01,-0.02,0.03
92803,-22.286875,-42.542264,8,883.30,2025/5/15,12:7:40,-0.29,927.75,1.09,0.00,9.05,-0.01,-0.02,0.02
93003,-22.286875,-42.542264,8,883.30,2025/5/15,12:7:40,-0.29,927.75,1.03,0.00,8.91,-0.01,-0.02,0.02
93203,-22.286875,-42.542264,8,883.30,2025/5/15,12:7:40,-0.16,927.74,1.05,0.02,9.06,-0.01,-0.02,0.03
93403,-22.286869,-42.542268,7,882.80,2025/5/15,12:7:41,-0.38,927.76,1.02,0.02,8.94,-0.01,-0.02,0.03
93603,-22.286869,-42.542268,7,882.80,2025/5/15,12:7:41,-0.46,927.77,1.07,0.03,9.00,-0.00,-0.02,0.03
93803,-22.286869,-42.542268,7,882.80,2025/5/15,12:7:41,-0.38,927.76,1.12,0.02,9.10,-0.01,-0.02,0.03
94003,-22.286869,-42.542268,7,882.80,2025/5/15,12:7:41,-0.47,927.77,1.17,-0.03,8.86,-0.01,-0.03,0.03
94204,-22.286869,-42.542268,7,882.80,2025/5/15,12:7:41,-0.25,927.75,1.09,0.00,9.03,-0.01,-0.02,0.03
94404,-22.286866,-42.542267,6,883.00,2025/5/15,12:7:42,-0.32,927.76,1.09,0.04,9.04,-0.01,-0.02,0.02
94604,-22.286866,-42.542267,6,883.00,2025/5/15,12:7:42,-0.44,927.77,1.07,-0.00,9.00,-0.01,-0.01,0.03
94804,-22.286866,-42.542267,6,883.00,2025/5/15,12:7:42,-0.31,927.75,1.07,-0.01,9.04,-0.00,-0.02,0.03
95004,-22.286866,-42.542267,6,883.00,2025/5/15,12:7:42,-0.26,927.75,1.02,0.00,8.91,-0.00,-0.01,0.03
95204,-22.286866,-42.542267,6,883.00,2025/5/15,12:7:42,-0.26,927.75,0.98,0.00,9.07,-0.01,-0.02,0.02
95404,-22.286864,-42.542272,6,882.10,2025/5/15,12:7:43,-0.41,927.77,1.04,-0.03,8.89,-0.00,-0.02,0.02
95604,-22.286864,-42.542272,6,882.10,2025/5/15,12:7:43,-0.22,927.74,1.07,0.04,8.90,-0.00,-0.01,0.02
95804,-22.286864,-42.542272,6,882.10,2025/5/15,12:7:43,-0.45,927.77,1.09,-0.01,9.12,-0.01,-0.02,0.03
96004,-22.286864,-42.542272,6,882.10,2025/5/15,12:7:43,-0.46,927.77,1.04,-0.04,9.06,-0.01,-0.02,0.02
96205,-22.286864,-42.542272,6,882.10,2025/5/15,12:7:43,-0.52,927.78,1.04,0.04,8.97,-0.01,-0.02,0.03
96405,-22.286860,-42.542276,7,881.10,2025/5/15,12:7:44,-0.22,927.74,0.99,-0.04,9.04,0.00,0.02,0.02
96605,-22.286860,-42.542276,7,881.10,2025/5/15,12:7:44,-0.29,927.75,0.95,0.01,8.99,-0.01,-0.02,0.02
96805,-22.286860,-42.542276,7,881.10,2025/5/15,12:7:44,-0.31,927.75,1.05,0.03,8.95,-0.01,-0.03,0.03
97005,-22.286860,-42.542276,7,881.10,2025/5/15,12:7:44,-0.26,927.75,1.02,-0.06,8.98,-0.00,-0.01,0.03
97205,-22.286860,-42.542276,7,881.10,2025/5/15,12:7:44,-0.38,927.76,0.97,-0.03,8.99,-0.01,-0.03,0.03
97405,-22.286852,-42.542279,7,880.80,2025/5/15,12:7:45,-0.25,927.75,1.02,0.03,8.98,-0.00,-0.01,0.02
97605,-22.286852,-42.542279,7,880.80,2025/5/15,12:7:45,-0.43,927.77,1.02,0.06,8.96,-0.01,-0.01,0.02
97805,-22.286852,-42.542279,7,880.80,2025/5/15,12:7:45,-0.17,927.74,1.04,0.04,8.95,-0.01,-0.01,0.03
98005,-22.286852,-42.542279,7,880.80,2025/5/15,12:7:45,-0.34,927.76,1.03,-0.05,9.04,-0.01,-0.02,0.02
98206,-22.286852,-42.542279,7,880.80,2025/5/15,12:7:45,-0.34,927.76,1.06,0.01,9.02,-0.01,-0.03,0.03
98406,-22.286840,-42.542282,7,880.80,2025/5/15,12:7:46,-0.32,927.76,1.08,0.02,8.99,-0.00,-0.01,0.03
98606,-22.286840,-42.542282,7,880.90,2025/5/15,12:7:46,-0.07,927.73,1.13,0.10,9.01,-0.00,-0.01,0.02
98806,-22.286840,-42.542282,7,880.90,2025/5/15,12:7:46,-0.16,927.74,1.08,0.04,8.97,-0.00,-0.03,0.02
99006,-22.286840,-42.542282,7,880.90,2025/5/15,12:7:46,-0.31,927.75,1.04,0.00,9.00,-0.01,-0.02,0.03
99206,-22.286840,-42.542282,7,880.90,2025/5/15,12:7:46,-0.26,927.75,1.02,-0.06,8.98,0.00,0.00,0.02
99406,-22.286834,-42.542280,8,881.20,2025/5/15,12:7:47,-0.62,927.79,1.08,-0.11,9.05,-0.00,-0.03,0.02
99606,-22.286834,-42.542280,8,881.20,2025/5/15,12:7:47,-0.41,927.77,1.04,-0.01,8.98,-0.00,-0.02,0.02
99806,-22.286834,-42.542280,8,881.20,2025/5/15,12:7:47,-0.35,927.76,1.01,-0.04,9.05,-0.01,-0.02,0.03
100006,-22.286834,-42.542280,8,881.20,2025/5/15,12:7:47,-0.46,927.77,1.03,0.03,9.03,-0.01,-0.02,0.02
100207,-22.286834,-42.542280,8,881.20,2025/5/15,12:7:47,-0.19,927.74,1.15,-0.04,8.74,-0.01,-0.02,0.02
100407,-22.286829,-42.542280,8,881.00,2025/5/15,12:7:48,-0.41,927.77,1.01,0.00,9.01,-0.00,0.00,0.03
100607,-22.286829,-42.542280,8,881.00,2025/5/15,12:7:48,-0.40,927.76,0.94,-0.10,9.03,-0.01,-0.02,0.03
100807,-22.286829,-42.542280,8,881.00,2025/5/15,12:7:48,-0.29,927.75,1.09,0.05,8.89,-0.01,-0.01,0.02
101007,-22.286829,-42.542280,8,881.00,2025/5/15,12:7:48,-0.13,927.73,1.10,0.02,8.98,-0.00,-0.03,0.02
101207,-22.286829,-42.542280,8,881.00,2025/5/15,12:7:48,-0.16,927.74,1.02,0.03,9.00,-0.00,-0.02,0.03
101407,-22.286831,-42.542278,7,881.10,2025/5/15,12:7:49,-0.21,927.74,1.01,-0.00,8.92,-0.01,-0.01,0.03
101607,-22.286831,-42.542278,7,881.10,2025/5/15,12:7:49,-0.02,927.72,1.09,0.03,9.01,-0.01,-0.02,0.02
101807,-22.286831,-42.542278,7,881.10,2025/5/15,12:7:49,-0.31,927.75,1.06,0.01,8.90,-0.01,-0.02,0.02
102007,-22.286831,-42.542278,7,881.10,2025/5/15,12:7:49,-0.28,927.75,1.11,0.07,8.85,-0.01,-0.02,0.03
102208,-22.286831,-42.542278,7,881.10,2025/5/15,12:7:49,-0.11,927.73,1.05,-0.03,8.96,-0.01,-0.02,0.02
102408,-22.286839,-42.542278,7,880.50,2025/5/15,12:7:50,-0.14,927.74,1.11,0.03,9.07,-0.00,-0.01,0.03
102608,-22.286839,-42.542278,7,880.50,2025/5/15,12:7:50,-0.23,927.75,1.00,-0.05,8.94,-0.01,-0.02,0.02
102808,-22.286839,-42.542278,7,880.50,2025/5/15,12:7:50,-0.19,927.74,0.99,0.04,9.01,-0.00,-0.01,0.02
103008,-22.286839,-42.542278,7,880.50,2025/5/15,12:7:50,-0.02,927.72,1.06,-0.03,9.03,-0.01,-0.02,0.02
103208,-22.286839,-42.542278,7,880.50,2025/5/15,12:7:50,-0.38,927.76,1.09,-0.00,8.94,-0.01,-0.02,0.03
103408,-22.286838,-42.542278,7,880.50,2025/5/15,12:7:51,-0.40,927.76,1.11,-0.00,9.05,-0.01,-0.02,0.02
103608,-22.286838,-42.542278,7,880.50,2025/5/15,12:7:51,-0.47,927.77,1.02,-0.02,8.98,-0.01,-0.02,0.02
103808,-22.286838,-42.542278,7,880.50,2025/5/15,12:7:51,-0.47,927.77,1.09,-0.03,8.99,-0.00,-0.01,0.03
104008,-22.286838,-42.542278,7,880.50,2025/5/15,12:7:51,-0.53,927.78,1.04,-0.05,9.00,-0.01,-0.02,0.02
104209,-22.286838,-42.542278,7,880.50,2025/5/15,12:7:51,-0.53,927.78,1.04,0.03,9.01,-0.01,-0.01,0.02
104409,-22.286832,-42.542275,7,881.00,2025/5/15,12:7:52,-0.53,927.78,1.06,0.02,9.02,-0.00,-0.02,0.03
104609,-22.286832,-42.542275,7,881.00,2025/5/15,12:7:52,-0.28,927.75,1.01,0.01,8.91,-0.00,-0.02,0.02
104809,-22.286832,-42.542275,7,881.00,2025/5/15,12:7:52,-0.29,927.75,1.08,0.01,9.06,-0.01,-0.02,0.02
105009,-22.286832,-42.542275,7,881.00,2025/5/15,12:7:52,-0.29,927.75,1.03,-0.01,8.94,-0.01,-0.01,0.02
105209,-22.286832,-42.542275,7,881.00,2025/5/15,12:7:52,-0.40,927.76,1.03,0.06,9.00,-0.01,-0.01,0.03
105409,-22.286831,-42.542273,7,881.00,2025/5/15,12:7:53,-0.47,927.77,1.07,-0.08,9.11,-0.01,-0.02,0.02
105609,-22.286831,-42.542273,7,881.00,2025/5/15,12:7:53,-0.35,927.76,1.02,0.02,9.02,-0.00,-0.02,0.03
105809,-22.286831,-42.542273,7,881.00,2025/5/15,12:7:53,-0.67,927.79,1.03,-0.05,9.02,-0.01,-0.02,0.02
106009,-22.286831,-42.542273,7,881.00,2025/5/15,12:7:53,-0.43,927.77,0.99,-0.02,9.12,-0.00,-0.02,0.02
106210,-22.286831,-42.542273,7,881.00,2025/5/15,12:7:53,-0.26,927.75,1.05,0.02,9.11,-0.00,-0.01,0.02
106410,-22.286831,-42.542273,7,880.70,2025/5/15,12:7:54,-0.26,927.75,1.02,-0.00,8.98,-0.01,-0.03,0.02
106610,-22.286831,-42.542273,7,880.70,2025/5/15,12:7:54,-0.47,927.77,1.01,0.05,9.02,-0.00,-0.02,0.03
106810,-22.286831,-42.542273,7,880.70,2025/5/15,12:7:54,-0.50,927.78,0.98,-0.00,9.22,-0.01,-0.01,0.03
107010,-22.286831,-42.542273,7,880.70,2025/5/15,12:7:54,-0.22,927.74,1.05,-0.00,8.98,-0.01,-0.02,0.03
107210,-22.286831,-42.542273,7,880.70,2025/5/15,12:7:54,-0.46,927.77,1.03,0.01,9.02,-0.01,-0.02,0.03
107410,-22.286829,-42.542274,7,880.30,2025/5/15,12:7:55,-0.40,927.76,1.10,-0.03,9.02,-0.01,-0.02,0.02
107610,-22.286829,-42.542274,7,880.30,2025/5/15,12:7:55,-0.21,927.74,1.01,-0.06,9.05,-0.01,-0.02,0.03
107810,-22.286829,-42.542274,7,880.30,2025/5/15,12:7:55,-0.32,927.76,1.08,-0.05,9.01,-0.00,-0.01,0.02
108010,-22.286829,-42.542274,7,880.30,2025/5/15,12:7:55,-0.34,927.76,1.05,0.01,9.03,-0.01,-0.01,0.03
108211,-22.286829,-42.542274,7,880.30,2025/5/15,12:7:55,-0.46,927.77,1.05,0.06,9.05,-0.01,-0.02,0.03
108411,-22.286826,-42.542273,7,880.50,2025/5/15,12:7:56,-0.38,927.76,1.07,0.06,8.94,-0.01,-0.02,0.02
108611,-22.286826,-42.542273,7,880.50,2025/5/15,12:7:56,-0.10,927.73,1.07,-0.00,9.00,-0.01,-0.02,0.03
108811,-22.286826,-42.542273,7,880.50,2025/5/15,12:7:56,-0.29,927.75,1.05,-0.06,9.02,-0.00,-0.02,0.02
109011,-22.286826,-42.542273,7,880.50,2025/5/15,12:7:56,-0.32,927.76,1.02,0.03,9.08,-0.01,-0.02,0.03
109211,-22.286826,-42.542273,7,880.50,2025/5/15,12:7:56,-0.25,927.75,1.07,-0.03,8.99,-0.00,-0.02,0.03
109411,-22.286823,-42.542275,6,880.00,2025/5/15,12:7:57,-0.02,927.72,1.07,0.05,8.99,-0.00,-0.03,0.02
109611,-22.286823,-42.542275,6,880.00,2025/5/15,12:7:57,-0.17,927.74,1.08,-0.01,9.04,-0.01,-0.02,0.03
109811,-22.286823,-42.542275,6,880.00,2025/5/15,12:7:57,-0.04,927.72,1.03,0.01,9.01,-0.01,-0.02,0.03
110011,-22.286823,-42.542275,6,880.00,2025/5/15,12:7:57,-0.47,927.77,1.05,0.01,9.01,-0.01,-0.02,0.02
110212,-22.286823,-42.542275,6,880.00,2025/5/15,12:7:57,-0.16,927.74,1.04,0.03,8.98,-0.00,-0.02,0.02
110412,-22.286820,-42.542277,6,879.70,2025/5/15,12:7:58,-0.47,927.77,1.03,0.01,8.97,-0.01,-0.02,0.02
110612,-22.286820,-42.542277,6,879.70,2025/5/15,12:7:58,-0.47,927.77,1.04,-0.01,8.99,-0.01,-0.02,0.03
110812,-22.286820,-42.542277,6,879.70,2025/5/15,12:7:58,-0.29,927.75,1.09,-0.00,9.11,-0.01,-0.02,0.02
111012,-22.286820,-42.542277,6,879.70,2025/5/15,12:7:58,-0.32,927.76,0.99,-0.00,9.05,-0.01,-0.02,0.02
111212,-22.286820,-42.542277,6,879.70,2025/5/15,12:7:58,-0.23,927.75,1.05,0.02,9.05,-0.00,-0.02,0.03
111412,-22.286820,-42.542277,7,879.60,2025/5/15,12:7:59,-0.60,927.79,1.09,-0.05,8.94,-0.00,-0.02,0.03
111612,-22.286820,-42.542277,7,879.60,2025/5/15,12:7:59,-0.37,927.76,1.02,0.01,9.00,-0.01,-0.02,0.03
111812,-22.286820,-42.542277,7,879.60,2025/5/15,12:7:59,-0.05,927.73,1.01,-0.02,9.03,-0.01,-0.02,0.02
112012,-22.286820,-42.542277,7,879.60,2025/5/15,12:7:59,-0.41,927.77,1.02,0.02,9.05,-0.01,-0.02,0.02
112213,-22.286820,-42.542277,7,879.60,2025/5/15,12:7:59,-0.44,927.77,1.09,0.01,8.95,-0.00,-0.02,0.03
112413,-22.286820,-42.542278,7,879.40,2025/5/15,12:8:0,-0.53,927.78,1.02,-0.05,9.01,-0.00,-0.02,0.02
112613,-22.286820,-42.542278,7,879.40,2025/5/15,12:8:0,-0.53,927.78,1.06,-0.03,8.95,-0.01,-0.02,0.02
112813,-22.286820,-42.542278,7,879.40,2025/5/15,12:8:0,-0.59,927.79,1.03,-0.01,9.01,-0.01,-0.02,0.02
113013,-22.286820,-42.542278,7,879.40,2025/5/15,12:8:0,-0.61,927.79,1.02,0.00,9.04,-0.00,-0.02,0.03
113213,-22.286820,-42.542278,7,879.40,2025/5/15,12:8:0,-0.50,927.78,1.05,-0.03,9.09,-0.00,-0.01,0.03
113413,-22.286820,-42.542279,7,879.00,2025/5/15,12:8:1,-0.47,927.79,1.04,-0.02,9.02,-0.01,-0.02,0.03
113613,-22.286820,-42.542279,7,879.00,2025/5/15,12:8:1,-0.43,927.77,1.05,-0.02,8.93,-0.01,-0.02,0.02
113813,-22.286820,-42.542279,7,879.00,2025/5/15,12:8:1,-0.67,927.79,0.99,-0.02,8.89,-0.01,-0.02,0.02
114013,-22.286820,-42.542279,7,879.00,2025/5/15,12:8:1,-0.28,927.75,1.05,-0.05,9.00,-0.01,-0.02,0.02
114214,-22.286820,-42.542279,7,879.00,2025/5/15,12:8:1,-0.62,927.79,1.06,-0.04,9.08,-0.01,-0.02,0.02
114414,-22.286817,-42.542281,8,878.80,2025/5/15,12:8:2,-0.67,927.79,1.07,-0.04,8.97,-0.01,-0.02,0.02
114614,-22.286817,-42.542281,8,878.80,2025/5/15,12:8:2,-0.43,927.77,1.06,0.05,9.06,-0.01,-0.02,0.03
114814,-22.286817,-42.542281,8,878.80,2025/5/15,12:8:2,-0.55,927.78,1.06,-0.04,8.91,-0.01,-0.02,0.03
115014,-22.286817,-42.542281,8,878.80,2025/5/15,12:8:2,-0.34,927.76,1.07,0.00,8.94,-0.01,-0.02,0.02
115214,-22.286817,-42.542281,8,878.80,2025/5/15,12:8:2,-0.08,927.73,1.06,-0.02,9.10,-0.01,-0.02,0.02
115414,-22.286814,-42.542277,8,879.10,2025/5/15,12:8:3,-0.34,927.76,0.99,0.03,8.92,-0.01,-0.02,0.03
115614,-22.286814,-42.542277,8,879.10,2025/5/15,12:8:3,-0.20,927.74,1.03,-0.07,8.93,-0.01,-0.02,0.03
115814,-22.286814,-42.542277,8,879.10,2025/5/15,12:8:3,-0.71,927.80,0.99,-0.02,8.99,-0.01,-0.02,0.03
116014,-22.286814,-42.542277,8,879.10,2025/5/15,12:8:3,-0.66,927.79,1.05,0.04,9.02,-0.01,-0.02,0.02
116215,-22.286814,-42.542277,8,879.10,2025/5/15,12:8:3,-0.54,927.78,1.06,-0.01,9.04,-0.01,-0.02,0.02
116415,-22.286815,-42.542279,7,878.50,2025/5/15,12:8:4,-0.40,927.76,1.09,0.04,9.01,-0.01,-0.02,0.02
116615,-22.286815,-42.542279,7,878.50,2025/5/15,12:8:4,-0.42,927.77,1.09,-0.03,9.02,-0.01,-0.02,0.03
116815,-22.286815,-42.542279,7,878.50,2025/5/15,12:8:4,-0.78,927.81,1.00,0.02,8.98,-0.00,-0.02,0.02
117015,-22.286815,-42.542279,7,878.50,2025/5/15,12:8:4,-0.42,927.77,1.03,-0.02,8.98,-0.01,-0.01,0.02
117215,-22.286815,-42.542279,7,878.50,2025/5/15,12:8:4,-0.43,927.77,1.04,-0.05,9.02,-0.01,-0.02,0.03
117415,-22.286817,-42.542280,7,878.20,2025/5/15,12:8:5,-0.15,927.74,1.01,-0.03,9.04,-0.01,-0.01,0.03
117615,-22.286817,-42.542280,7,878.20,2025/5/15,12:8:5,-0.34,927.76,1.07,-0.01,8.94,-0.01,-0.02,0.02
117815,-22.286817,-42.542280,7,878.20,2025/5/15,12:8:5,-0.66,927.79,1.02,0.03,8.93,-0.01,-0.02,0.02
118015,-22.286817,-42.542280,7,878.20,2025/5/15,12:8:5,-0.37,927.76,1.09,0.01,8.94,-0.01,-0.02,0.02
118216,-22.286817,-42.542280,7,878.20,2025/5/15,12:8:5,-0.43,927.77,1.08,-0.00,9.03,-0.01,-0.02,0.03
118416,-22.286817,-42.542282,7,878.00,2025/5/15,12:8:6,-0.64,927.79,1.04,0.02,8.98,-0.01,-0.01,0.02
118616,-22.286817,-42.542282,7,878.00,2025/5/15,12:8:6,-0.60,927.79,1.07,-0.01,9.03,-0.00,-0.02,0.02
118816,-22.286817,-42.542282,7,878.00,2025/5/15,12:8:6,-0.34,927.76,1.05,0.02,8.99,-0.01,-0.01,0.02
119016,-22.286817,-42.542282,7,878.00,2025/5/15,12:8:6,-0.34,927.76,1.04,0.02,8.97,-0.01,-0.02,0.03
119216,-22.286817,-42.542282,7,878.00,2025/5/15,12:8:6,-0.53,927.77,1.05,0.04,8.89,-0.01,-0.02,0.02
119416,-22.286813,-42.542284,7,877.90,2025/5/15,12:8:7,-0.31,927.75,1.00,0.04,9.01,-0.00,-0.02,0.02
119616,-22.286813,-42.542284,7,877.90,2025/5/15,12:8:7,-0.72,927.80,1.10,-0.03,9.01,-0.01,-0.02,0.02
119816,-22.286813,-42.542284,7,877.90,2025/5/15,12:8:7,-0.60,927.79,1.03,0.07,8.92,-0.00,-0.02,0.03
120016,-22.286813,-42.542284,7,877.90,2025/5/15,12:8:7,-0.38,927.76,1.05,-0.02,9.00,-0.01,-0.02,0.02
120217,-22.286813,-42.542284,7,877.90,2025/5/15,12:8:7,-0.16,927.74,1.09,-0.05,8.89,-0.00,-0.02,0.02
120417,-22.286819,-42.542282,7,877.70,2025/5/15,12:8:8,-0.40,927.76,1.08,-0.03,9.00,-0.00,-0.01,0.02
120617,-22.286819,-42.542282,7,877.70,2025/5/15,12:8:8,-0.37,927.76,1.10,0.10,8.93,-0.00,-0.02,0.03
120817,-22.286819,-42.542282,7,877.70,2025/5/15,12:8:8,-0.35,927.76,1.04,-0.02,9.08,-0.01,-0.02,0.03
121017,-22.286819,-42.542282,7,877.70,2025/5/15,12:8:8,-0.51,927.78,1.03,0.02,8.94,-0.00,-0.02,0.03
121217,-22.286819,-42.542282,7,877.70,2025/5/15,12:8:8,-0.30,927.75,1.10,0.01,8.98,-0.00,-0.01,0.03
121417,-22.286825,-42.542279,7,877.70,2025/5/15,12:8:9,-0.28,927.75,1.07,-0.01,9.06,-0.01,-0.02,0.02
121617,-22.286825,-42.542279,7,877.70,2025/5/15,12:8:9,-0.63,927.79,1.07,-0.00,9.01,-0.01,-0.02,0.02
121817,-22.286825,-42.542279,7,877.70,2025/5/15,12:8:9,-0.46,927.77,1.01,0.01,9.01,-0.00,-0.02,0.02
122017,-22.286825,-42.542279,7,877.70,2025/5/15,12:8:9,-0.37,927.76,1.03,0.00,9.03,-0.01,-0.01,0.02
122218,-22.286825,-42.542279,7,877.70,2025/5/15,12:8:9,-0.27,927.75,1.07,-0.03,9.00,-0.00,-0.02,0.03
122418,-22.286826,-42.542279,7,877.50,2025/5/15,12:8:10,-0.51,927.78,1.01,-0.02,9.02,-0.00,-0.02,0.03
122618,-22.286826,-42.542279,7,877.50,2025/5/15,12:8:10,-0.58,927.78,1.05,0.02,9.07,-0.00,-0.02,0.02
122818,-22.286826,-42.542279,7,877.50,2025/5/15,12:8:10,-0.58,927.78,1.02,-0.00,9.01,-0.00,-0.02,0.03
123018,-22.286826,-42.542279,7,877.50,2025/5/15,12:8:10,-0.43,927.77,1.06,0.04,9.04,-0.01,-0.01,0.02
123218,-22.286826,-42.542279,7,877.50,2025/5/15,12:8:10,-0.17,927.74,1.06,-0.03,9.05,-0.00,-0.01,0.02
123418,-22.286833,-42.542278,7,877.20,2025/5/15,12:8:11,-0.31,927.75,1.11,-0.01,9.06,-0.01,-0.02,0.02
123618,-22.286833,-42.542278,7,877.20,2025/5/15,12:8:11,-0.27,927.75,1.06,0.01,9.03,-0.01,-0.02,0.03
123818,-22.286833,-42.542278,7,877.20,2025/5/15,12:8:11,-0.40,927.76,1.04,0.00,9.08,-0.00,-0.02,0.02
124018,-22.286833,-42.542278,7,877.20,2025/5/15,12:8:11,-0.16,927.74,1.03,0.02,8.98,-0.01,-0.01,0.03
124219,-22.286833,-42.542278,7,877.20,2025/5/15,12:8:11,-0.36,927.76,1.04,0.00,9.10,-0.01,-0.02,0.03
124419,-22.286839,-42.542276,7,877.00,2025/5/15,12:8:12,-0.40,927.76,1.07,-0.05,9.00,-0.01,-0.02,0.02
124619,-22.286839,-42.542276,7,877.00,2025/5/15,12:8:12,-0.28,927.75,1.02,-0.06,8.97,-0.01,-0.02,0.03
124819,-22.286839,-42.542276,7,877.00,2025/5/15,12:8:12,-0.45,927.77,1.00,0.01,9.03,-0.01,-0.02,0.03
125019,-22.286839,-42.542276,7,877.00,2025/5/15,12:8:12,-0.24,927.75,1.12,0.08,8.98,-0.01,-0.01,0.03
125219,-22.286839,-42.542276,7,877.00,2025/5/15,12:8:12,-0.18,927.74,1.05,0.02,9.00,-0.00,-0.02,0.02
125419,-22.286842,-42.542281,7,876.30,2025/5/15,12:8:13,-0.10,927.73,1.02,-0.09,8.95,-0.01,-0.02,0.03
125619,-22.286842,-42.542281,7,876.30,2025/5/15,12:8:13,-0.54,927.78,1.04,-0.06,8.89,-0.01,-0.01,0.02
125819,-22.286842,-42.542281,7,876.30,2025/5/15,12:8:13,-0.34,927.76,0.96,-0.08,9.04,-0.01,-0.02,0.02
126019,-22.286842,-42.542281,7,876.30,2025/5/15,12:8:13,-0.43,927.77,1.11,0.00,8.98,-0.01,-0.02,0.02
126220,-22.286842,-42.542281,7,876.30,2025/5/15,12:8:13,-0.57,927.78,1.02,0.01,9.06,-0.00,-0.02,0.02
126420,-22.286844,-42.542282,7,875.70,2025/5/15,12:8:14,-0.39,927.76,1.02,0.01,8.98,-0.00,-0.03,0.03
126620,-22.286844,-42.542282,7,875.70,2025/5/15,12:8:14,-0.43,927.77,1.11,-0.01,9.00,-0.01,-0.01,0.02
126820,-22.286844,-42.542282,7,875.70,2025/5/15,12:8:14,-0.57,927.78,1.05,-0.04,9.03,-0.01,-0.02,0.03
127020,-22.286844,-42.542282,7,875.70,2025/5/15,12:8:14,-0.60,927.79,1.01,-0.07,8.96,-0.01,-0.02,0.03
127220,-22.286844,-42.542282,7,875.70,2025/5/15,12:8:14,-0.31,927.75,1.08,0.06,8.96,-0.01,-0.01,0.03
127420,-22.286835,-42.542287,7,875.50,2025/5/15,12:8:15,-0.59,927.78,1.01,0.02,8.86,-0.01,-0.01,0.03
127620,-22.286835,-42.542287,7,875.50,2025/5/15,12:8:15,-0.69,927.80,1.03,-0.03,8.98,-0.00,-0.02,0.02
127820,-22.286835,-42.542287,7,875.50,2025/5/15,12:8:15,-0.51,927.78,1.07,0.05,9.04,-0.00,-0.02,0.03
128020,-22.286835,-42.542287,7,875.50,2025/5/15,12:8:15,-0.33,927.76,0.98,-0.01,8.97,-0.01,-0.02,0.03
128221,-22.286835,-42.542287,7,875.50,2025/5/15,12:8:15,-0.12,927.73,1.05,0.01,8.97,-0.01,-0.02,0.02
128421,-22.286831,-42.542287,8,875.30,2025/5/15,12:8:16,-0.33,927.76,1.02,-0.04,8.97,-0.01,-0.02,0.03
128621,-22.286831,-42.542287,8,875.30,2025/5/15,12:8:16,-0.33,927.76,1.02,0.04,9.03,-0.01,-0.02,0.03
128821,-22.286831,-42.542287,8,875.30,2025/5/15,12:8:16,-0.45,927.77,0.99,-0.00,8.99,-0.01,-0.02,0.03
129021,-22.286831,-42.542287,8,875.30,2025/5/15,12:8:16,-0.46,927.77,1.00,-0.03,9.01,-0.01,-0.02,0.02
129221,-22.286831,-42.542287,8,875.30,2025/5/15,12:8:16,-0.52,927.78,0.99,-0.02,9.03,-0.00,-0.01,0.03
129421,-22.286831,-42.542289,8,875.20,2025/5/15,12:8:17,-0.40,927.76,1.03,-0.03,8.96,-0.01,-0.01,0.03
